drug_name,medical_condition,generic_name,side_effects
Mucinex Allergy,Hayfever,fexofenadine,"hives; difficult breathing; swelling of your face, lips, tongue, or throat. Mucinex Allergy may cause serious side effects. Stop using Mucinex Allergy and call your doctor at once if you have: flu-like symptoms (fever, chills, unusual tiredness); new or worsening cough; pain; or signs of an ear infection--fever, ear pain or full feeling, trouble hearing, drainage from the ear, fussiness in a child. Common side effects of Mucinex Allergy may include: headache ; back pain ; or cold symptoms such as stuffy nose, sinus pain, sore throat ."
NasalCrom,Hayfever,cromolyn sodium (nasal),"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Stop using this medicine and call your doctor if you have: severe burning, stinging, or irritation in your nose; nosebleeds , sinus pain, or sores in your nose; wheezing, tight feeling in your chest; or fever, green or yellow mucus from the nose. Common side effects may include sneezing or mild stinging inside your nose after use."
olopatadine,Hayfever,olopatadine (nasal),"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Olopatadine may cause serious side effects. Stop using olopatadine and call your doctor at once if you have: nosebleed; painful sores inside your nose; fever; or pain or burning when you urinate. Common side effects of olopatadine may include: runny or stuffy nose, nosebleeds ; cough, throat pain or irritation; a bitter taste in your mouth; drowsiness; headache ; fever; rash; or painful urination."
Rhinocort Allergy,Hayfever,budesonide nasal,"hives ; difficulty breathing; swelling of your face, lips, tongue, or throat. Rhinocort Allergy may cause serious side effects. Stop using Rhinocort Allergy and call your doctor at once if you have: come into contact with anyone who has chickenpox, measles or tuberculosis ; severe or ongoing nosebleeds ; vision problems; or fever, chills, body aches, flu symptoms. Less serious side effects may be more likely, and you may have none at all."
Alavert D-12 Hour Allergy and Sinus,Hayfever,loratadine and pseudoephedrine,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. This medicine may cause serious side effects. Stop using this medicine and call your doctor at once if you have: pounding heartbeats or fluttering in your chest; or severe dizziness , nervousness , or restless feeling. Common side effects of Alavert D-12 may include: dry mouth, nose, or throat; mild dizziness; or sleep problems ( insomnia )."
All Day Allergy-D,Hayfever,cetirizine and pseudoephedrine,"hives ; difficulty breathing; swelling of your face, lips, tongue, or throat. All Day Allergy-D may cause serious side effects. Stop using All Day Allergy-D and call your doctor at once if you have: fast, pounding, or uneven heartbeat; weakness, tremors (uncontrolled shaking) severe restless feeling, hyperactivity, extreme feeling of fear or confusion; problems with vision; little or no urinating; or high blood pressure (severe headache , buzzing in your ears, chest pain, shortness of breath, uneven heartbeats). Common side effects of All Day Allergy-D may include: dizziness , drowsiness, tired feeling; sleep problems ( insomnia ); dry mouth, nausea , stomach pain, constipation ; or trouble concentrating."
Allerest Maximum Strength,Hayfever,chlorpheniramine and pseudoephedrine,"hives ; difficulty breathing; swelling of your face, lips, tongue, or throat. This medicine may cause serious side effects. Stop using this medicine and call your doctor at once if you have: chest pain, rapid pulse, fast or uneven heart rate; confusion, hallucinations, severe nervousness ; tremor, seizure (convulsions); little or no urinating; easy bruising or bleeding, unusual weakness; or dangerously high blood pressure (severe headache, buzzing in your ears, anxiety , shortness of breath). Side effects such as dry mouth, constipation , and confusion may be more likely in older adults. Common side effects of Allerest Maximum Strength may include: dizziness , drowsiness, blurred vision; dry nose or mouth; nausea , stomach pain, constipation, loss of appetite; problems with memory or concentration; or feeling restless or excited (especially in children)."
Allergy & Congestion Relief,Hayfever,loratadine and pseudoephedrine (oral route),"Along with its needed effects, a medicine may cause some unwanted effects. Although not all of these side effects may occur, if they do occur they may need medical attention. Some side effects may occur that usually do not need medical attention. These side effects may go away during treatment as your body adjusts to the medicine. Also, your health care professional may be able to tell you about ways to prevent or reduce some of these side effects. Check with your health care professional if any of the following side effects continue or are bothersome or if you have any questions about them: Incidence not known Dizziness drowsiness nervousness trouble sleeping Other side effects not listed may also occur in some patients. If you notice any other effects, check with your healthcare professional. Call your doctor for medical advice about side effects. You may report side effects to the FDA at 1-800-FDA-1088. Allergy & Congestion Relief side effects"
Allergy Relief D,Hayfever,cetirizine hydrochloride and pseudoephedrine hydrochloride,
Arbinoxa,Hayfever,carbinoxamine (oral route),"Along with its needed effects, a medicine may cause some unwanted effects. Although not all of these side effects may occur, if they do occur they may need medical attention. Check with your doctor immediately if any of the following side effects occur: Incidence not known Blurred vision chills confusion cough decrease in the frequency of urination decrease in urine volume difficult or painful urination difficulty in passing urine (dribbling) difficulty with swallowing dizziness, faintness, or lightheadedness when getting up suddenly from a lying or sitting position fast, irregular, pounding, or racing heartbeat or pulse hives or welts, itching, skin rash puffiness or swelling of the eyelids or around the eyes, face, lips, or tongue redness of the skin sweating tightness in the chest unusual tiredness or weakness Symptoms of overdose Agitation anxiety bloating diarrhea difficulty with sleeping disorientation dizziness drowsiness to profound coma dry mouth feeling of warmth fixed and enlarged pupils gas headache lethargy lightheadedness loss of appetite nausea redness of the face, neck, arms, and occasionally, upper chest seeing, hearing, or feeling things that are not there seizures tightness of the chest trouble breathing vomiting Some side effects may occur that usually do not need medical attention. These side effects may go away during treatment as your body adjusts to the medicine. Also, your health care professional may be able to tell you about ways to prevent or reduce some of these side effects. Check with your health care professional if any of the following side effects continue or are bothersome or if you have any questions about them: More common Clumsiness or unsteadiness cough producing mucus drowsiness sleepiness Incidence not known Back, leg, or stomach pains black, tarry stools bleeding gums blood in the urine or stools blurred vision burning, crawling, itching, numbness, prickling, ""pins and needles"", or tingling feelings chills confusion continuing ringing or buzzing or other unexplained noise in the ears cough or hoarseness dark urine difficulty breathing difficulty having a bowel movement (stool) dizziness or lightheadedness double vision dry mouth, nose, and throat feeling excited feeling of constant movement of self or surroundings fever with or without chills general body swelling general feeling of tiredness or weakness headache hearing loss increased sensitivity of the skin to sunlight itching loss of appetite lower back or side pain nosebleeds pale skin pinpoint red spots on the skin redness or other discoloration of the skin restlessness seeing double seizures sensation of spinning severe sunburn shakiness in the legs, arms, hands, or feet sore throat sores, ulcers, or white spots on the lips or in the mouth trembling or shaking of the hands or feet trouble sleeping unusual bleeding or bruising weight loss yellowing of the eyes or skin Other side effects not listed may also occur in some patients. If you notice any other effects, check with your healthcare professional. Call your doctor for medical advice about side effects. You may report side effects to the FDA at 1-800-FDA-1088. Arbinoxa side effects"
